BGC ID	BGC type	detection rules used	BGC_range	genes	subclusters	NRPSs/PKSs	signature_genes	RiPPs	predicted structure	monomers
CM001221_c38	polyketide	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));plants/polyketide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Chal_sti_synt_C/Chal_sti_synt_N]));"	1331299;1518545	AES93777.2;AES93778.1;AES93780.1;AES93781.1;AES93782.1;AES93783.1;AES93785.1;AES93786.1;AES93787.1;AES93788.1;KEH27369.1;AES93790.1;KEH27370.1;AES93793.2;AES93794.1;AES93795.1;AES93796.1;AES93797.1;AES93798.1;AES93799.2;AES93800.1;KEH27371.1;AES93801.1;AES93802.1;AES93803.2;AES93804.1;KEH27372.1;AES93807.1;KEH27373.1;KEH27374.1;AES93808.1;KEH27375.1;KEH27376.1;KEH27377.1;AES93810.1;AES93811.2;AES93812.1;AES93813.1;AES93814.1;AES93815.1;AES93816.2			AES93780;AES93785;AES93786;AES93793;AES93801;KEH27375;KEH27376;KEH27377;AES93810;AES93811;AES93813;AES93814	-		N/A
CM001221_c39	terpene	"plants/terpene: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Terpene_synth/Terpene_synth_C/Prenyltrans/SQHop_cyclase_C/SQHop_cyclase_N/PRISE]));"	1919243;1970956	AES93903.1;AES93904.1;AES93905.1;AES93906.1;AES93908.1;AES93909.1;AES93910.1			AES93904;AES93905;AES93906;AES93909	-		N/A
CM001221_c40	saccharide	"plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	11281532;11356363	KEH27681.1;AES95593.2;AES95594.1;AES95595.2;AES95596.1;AES95597.1;KEH27682.1;AES95600.1;AES95602.1;AES95604.2			AES95594;AES95596;AES95597;AES95600	-		N/A
CM001221_c41	cyclopeptide	"plants/cyclopeptide: (BURP);"	14305758;14483478	AES96093.2;AES96094.1;AES96095.2;AES96096.2;AES96097.1;AES96098.1;AES96101.1;AES96102.1;AES96103.1;AES96105.1;KEH27748.1;AES96106.2;AES96107.1;AES96108.2;AES96109.1;AES96110.1;AES96111.1;AES96112.1;AES96113.1;AES96114.2;AES96115.1;AES96116.1;AES96117.1;AES96118.1;AES96119.1;AES96120.1;AES96121.1;AES96123.2;KEH27749.1;AES96124.1;AES96125.1;AES96126.2;AES96128.1;AES96129.1;AES96130.1			AES96107;AES96108;AES96109;AES96110;AES96115;AES96116;AES96117;AES96118;AES96119	-		N/A
CM001221_c42	cyclopeptide	"plants/cyclopeptide: (BURP);"	14669467;15061976	AES96159.1;AES96161.1;AES96164.1;AES96167.1;AES96168.1;AES96169.1;AES96170.1;AES96172.1;KEH27752.1;AES96173.2;AES96174.2;AES96176.1;KEH27753.1;AES96177.2;AES96178.2;AES96179.1;AES96181.2;AES96182.1;KEH27754.1;KEH27755.1;AES96183.1;AES96184.1;AES96185.1;AES96186.1;AES96187.2;AES96188.1;AES96189.1;AES96190.1;AES96191.1;KEH27756.1;AES96192.1;AES96194.2;AES96195.2;KEH27758.1;KEH27757.1;AES96196.1;AES96197.2;AES96200.2;AES96201.2;KEH27759.1;KEH27760.1;AES96202.1;AES96203.1;KEH27761.1;AES96204.1;AES96205.1;AES96207.1;AES96208.1;AES96210.1;AES96211.1;KEH27763.1;KEH27764.1;AES96213.1;KEH27762.1;AES96214.1;AES96215.2;AES96221.2;AES96222.1;AES96223.1			AES96192	-		N/A
CM001221_c43	alkaloid	"plants/alkaloid: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Bet_v_1/Cu_amine_oxid/Str_synth]));"	15222799;15259481	AES96253.2;AES96254.1;AES96255.1;AES96257.1;AES96258.2;AES96259.1;AES96260.1;AES96261.1			AES96255;AES96258;AES96260	-		N/A
CM001221_c44	polyketide	"plants/polyketide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Chal_sti_synt_C/Chal_sti_synt_N]));"	23260118;23358168	AES97589.1;AES97591.1;AES97592.1;AES97595.1;KEH27990.1;KEH27991.1;AES97596.1;KEH27992.1;AES97597.1;AES97598.1;AES97599.1;AES97600.1;AES97601.1;AES97602.1;AES97605.1;AES97606.1;AES97607.1;AES97610.1			AES97592;AES97598;AES97607	-		N/A
CM001221_c45	putative	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));"	30864242;30938720	AES98763.2;AES98764.2;AES98765.1;AES98766.2;AES98767.2;AES98768.2;AES98769.1;AES98772.1;AES98774.1			AES98764;AES98766;AES98769;AES98774	-		N/A
CM001221_c46	saccharide	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	30978246;31083219	AES98782.1;AES98784.1;AES98785.1;AES98786.2;KEH28191.1;AES98787.1;AES98788.1;AES98789.1;AES98790.1;AES98792.1;AES98793.1;AES98795.2;AES98797.2;AES98798.1;AES98799.1;AES98800.2;AES98801.1;AES98802.1;AES98804.2			AES98784;AES98785;AES98786;KEH28191;AES98787;AES98788;AES98789;AES98790;AES98795;AES98800;AES98804	-		N/A
CM001221_c47	saccharide	"plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	32677431;32787237	AES99103.1;AES99104.2;AES99105.1;AES99106.1;AES99107.2;AES99108.2;AES99109.2;AES99110.1;AES99111.1;AES99112.1;AES99114.1;AES99115.2;AES99116.2;AES99117.2;AES99119.2;AES99121.1;AES99122.2;AES99123.2;AES99124.2;AES99125.1;AES99126.1			AES99105;AES99112;AES99124	-		N/A
