BGC ID	BGC type	detection rules used	BGC_range	genes	subclusters	NRPSs/PKSs	signature_genes	RiPPs	predicted structure	monomers
CM001220_c26	polyketide	"plants/polyketide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Chal_sti_synt_C/Chal_sti_synt_N]));"	955173;1028565	AES86450.1;AES86451.1;AES86452.1;AES86453.2;AES86455.1;AES86456.2;KEH28551.1;AES86458.2;AES86478.1;AES86477.2;AES86476.1			AES86450;AES86455;AES86478	-		N/A
CM001220_c27	polyketide	"plants/polyketide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Chal_sti_synt_C/Chal_sti_synt_N]));"	19464508;19551271	KEH29872.1;KEH29873.1;KEH29874.1;AES88360.2;KEH29875.1;KEH29876.1;AES88362.2;KEH29877.1;KEH29878.1;AES88369.2;KEH29879.1			KEH29873;AES88362;KEH29878	-		N/A
CM001220_c28	polyketide	"plants/polyketide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Chal_sti_synt_C/Chal_sti_synt_N]));"	19637977;19950947	AES88382.2;AES88384.1;AES88385.1;AES88386.1;KEH29881.1;AES88388.1;KEH29882.1;KEH29883.1;AES88391.2;AES88392.1;AES88394.1;KEH29884.1;KEH29885.1;AES88397.1;AES88400.1;AES88403.2;AES88405.2;KEH29886.1;AES88407.1;AES88409.1;KEH29887.1;AES88411.2;AES88414.1;AES88415.1;KEH29888.1;AES88417.1;AES88418.1;AES88420.1			AES88384;AES88388;KEH29885;AES88403;AES88411;AES88420	-		N/A
CM001220_c29	lignan	"plants/lignan: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Dirigent]));plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));"	23204564;23252275	KEH30092.1;KEH30093.1;KEH30094.1;KEH30095.1;KEH30096.1;KEH30097.1;KEH30098.1;KEH30099.1;KEH30104.1;KEH30103.1;KEH30102.1;KEH30100.1;KEH30101.1;KEH30105.1;KEH30107.1;KEH30106.1			KEH30093;KEH30094;KEH30096;KEH30097;KEH30098;KEH30099	-		N/A
CM001220_c30	cyclopeptide	"plants/cyclopeptide: (BURP);"	25524233;25773447	AES89009.1;KEH30351.1;AES89022.2;AES89023.2;KEH30352.1;AES89025.2;AES89026.2;AES89027.1;AES89028.1;AES89029.2;AES89030.1;AES89031.1;AES89032.2;AES89034.2;AES89035.2;AES89036.2;AES89037.1;AES89038.1;AES89039.1;AES89040.1;AES89041.1;AES89043.1;KEH30353.1;AES89044.2;AES89045.1;AES89046.1;AES89048.1;KEH30354.1;AES89060.2;AES89059.1;AES89058.1;KEH30355.1;KEH30356.1;KEH30359.1;KEH30357.1;KEH30358.1;AES89057.1;AES89056.2;AES89055.2;KEH30360.1;KEH30361.1;KEH30362.1;KEH30363.1;KEH30365.1;KEH30364.1			AES89048	-		N/A
CM001220_c31	cyclopeptide	"plants/cyclopeptide: (BURP);"	25775507;26083767	KEH30365.1;KEH30364.1;KEH30366.1;KEH30367.1;KEH30368.1;KEH30369.1;KEH30371.1;KEH30370.1;KEH30372.1;KEH30373.1;KEH30375.1;KEH30374.1;KEH30378.1;KEH30377.1;KEH30379.1;KEH30376.1;KEH30381.1;KEH30380.1;KEH30382.1;KEH30383.1;KEH30384.1;KEH30385.1;KEH30387.1;KEH30386.1;KEH30388.1;KEH30389.1;KEH30390.1;KEH30391.1;KEH30393.1;KEH30392.1;KEH30394.1;KEH30395.1;KEH30396.1;KEH30397.1;KEH30398.1;KEH30399.1;KEH30400.1;KEH30401.1;KEH30402.1;KEH30403.1;KEH30404.1;KEH30405.1;KEH30406.1;KEH30407.1;KEH30408.1;KEH30409.1;KEH30410.1;KEH30411.1;KEH30412.1;KEH30413.1;KEH30414.1;KEH30415.1			KEH30397	-		N/A
CM001220_c32	cyclopeptide	"plants/cyclopeptide: (BURP);"	25944482;26426212	KEH30399.1;KEH30400.1;KEH30401.1;KEH30402.1;KEH30403.1;KEH30404.1;KEH30405.1;KEH30406.1;KEH30407.1;KEH30408.1;KEH30409.1;KEH30410.1;KEH30411.1;KEH30412.1;KEH30413.1;KEH30414.1;KEH30415.1;KEH30416.1;KEH30417.1;KEH30418.1;KEH30419.1;KEH30420.1;KEH30421.1;KEH30422.1;KEH30423.1;KEH30424.1;KEH30426.1;KEH30425.1;KEH30427.1;KEH30428.1;KEH30429.1;KEH30430.1;KEH30431.1;KEH30432.1;KEH30433.1;KEH30434.1;KEH30435.1;AES89068.1;AES89070.1;AES89071.1;AES89074.1;AES89075.1;AES89076.1;AES89078.1;AES89077.1;AES89079.1;AES89080.2;AES89081.1;AES89082.1;KEH30436.1;AES89083.1;AES89084.1;AES89088.1;AES89090.1;AES89091.1;AES89092.1;AES89093.1;AES89094.1;AES89095.1;KEH30437.1;KEH30438.1;AES89098.1;AES89099.1;AES89101.1;AES89100.2;KEH30439.1;AES89102.1;AES89103.1;AES89105.1;AES89107.1;KEH30440.1;AES89108.1;AES89111.1;AES89112.1;AES89113.1;AES89115.1;AES89117.1;AES89118.1;AES89119.1			KEH30428;KEH30429;KEH30431;KEH30432;KEH30434;AES89068	-		N/A
CM001220_c33	saccharide;alkaloid	"plants/alkaloid: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Bet_v_1/Cu_amine_oxid/Str_synth]));plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	29903560;30000355	AES89622.1;KEH30663.1;AES89623.2;AES89624.1;KEH30665.1;AES89625.1;KEH30664.1;KEH30667.1;AES89626.1;KEH30666.1;AES89627.1;KEH30668.1;KEH30669.1;KEH30670.1;AES89628.1;AES89629.1;KEH30671.1;AES89630.1;AES89640.1;AES89632.2;AES89642.1;AES89643.2;KEH30672.1;KEH30673.1;KEH30674.1			AES89623;AES89624;AES89629;AES89642;KEH30672;KEH30673	-		N/A
CM001220_c34	terpene	"plants/terpene: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Terpene_synth/Terpene_synth_C/Prenyltrans/SQHop_cyclase_C/SQHop_cyclase_N/PRISE]));"	36500446;36560266	KEH31174.1;KEH31175.1;KEH31177.1;KEH31176.1;KEH31178.1;KEH31179.1;KEH31180.1;KEH31182.1;KEH31181.1			KEH31174;KEH31175;KEH31180	-		N/A
CM001220_c35	putative	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));"	39040110;39106344	KEH31445.1;KEH31446.1;KEH31447.1;KEH31448.1;KEH31449.1;KEH31450.1;KEH31451.1;KEH31452.1;KEH31453.1;KEH31454.1;KEH31455.1;KEH31457.1;KEH31456.1			KEH31446;KEH31447;KEH31449;KEH31450;KEH31451;KEH31452;KEH31453;KEH31455	-		N/A
