BGC ID	BGC type	detection rules used	BGC_range	genes	subclusters	NRPSs/PKSs	signature_genes	RiPPs	predicted structure	monomers
CM001224_c61	saccharide	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	541132;599988	AET01189.1;AET01191.2;AET01192.1;AET01194.1;AET01195.1;AET01196.1;AET01197.1;AET01209.1;AET01208.2;KEH17797.1;KEH17798.1;KEH17799.1;KEH17800.1			AET01191;AET01192;AET01194;AET01195;AET01208;KEH17798	-		N/A
CM001224_c62	saccharide;terpene	"plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));plants/terpene: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Terpene_synth/Terpene_synth_C/Prenyltrans/SQHop_cyclase_C/SQHop_cyclase_N/PRISE]));"	1580199;1688963	KEH17937.1;KEH17938.1;KEH17939.1;KEH17940.1;KEH17941.1;KEH17942.1;KEH17943.1;KEH17944.1;KEH17945.1;KEH17946.1;KEH17947.1;KEH17948.1;KEH17949.1;KEH17950.1;KEH17951.1			KEH17940;KEH17941;KEH17945;KEH17949	-		N/A
CM001224_c63	saccharide	"plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	1940413;2066813	AET01250.1;AET01251.1;AET01252.1;AET01253.1;AET01255.1;AET01256.2;AET01257.2;AET01258.1;AET01260.2;KEH17968.1;KEH17969.1;KEH17971.1;KEH17970.1;KEH17973.1;KEH17972.1;KEH17975.1;KEH17974.1;AET01263.2;AET01264.1;AET01266.1;AET01267.2;AET01269.1;AET01270.2;AET01271.1;KEH17976.1;AET01272.1;AET01273.1;AET01274.1			AET01251;AET01253;AET01255;AET01260;KEH17968;KEH17969;KEH17970;KEH17972;AET01263;AET01264;AET01266;AET01267;AET01270;AET01271;AET01272;AET01273	-		N/A
CM001224_c64	saccharide	"plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	3643219;3728573	KEH18123.1;KEH18124.1;KEH18125.1;KEH18126.1;KEH18127.1;KEH18128.1;KEH18129.1;KEH18130.1;KEH18131.1;KEH18132.1;KEH18133.1;KEH18134.1;KEH18135.1			KEH18124;KEH18125;KEH18132;KEH18133;KEH18134	-		N/A
CM001224_c65	saccharide;cyclopeptide	"plants/cyclopeptide: (BURP);plants/saccharide: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Glycos_transf_1/Glycos_transf_2/Glycos_transf_28/UDPGT/UDPGT_2]));"	16736606;17176782	AET02580.1;AET02583.1;AET02584.1;AET02592.2;AET02586.1;AET02587.1;AET02588.1;AET02599.1;AET02600.1;AET02601.2;AET02602.1;AET02603.2;AET02604.1;AET02605.2;AET02608.2;AET02612.2;AET02614.1;AET02615.1;AET02616.2;AET02617.2;AET02620.2;AET02621.1;KEH19222.1;KEH19223.1;KEH19224.1;KEH19225.1;AET02629.1;AET02630.1;AET02631.1;AET02632.1;AET02633.1;AET02634.2;AET02635.1;KEH19226.1;AET02636.1;AET02637.2;AET02639.1;AET02640.1;AET02641.1;AET02642.1;AET02643.1;AET02645.1;AET02646.1;KEH19227.1;KEH19228.1;KEH19229.1;KEH19230.1;KEH19231.1;KEH19232.1			AET02614;AET02616;KEH19223;KEH19225;KEH19228;KEH19231	-		N/A
CM001224_c66	cyclopeptide	"plants/cyclopeptide: (BURP);"	16936792;17290736	AET02620.2;AET02621.1;KEH19222.1;KEH19223.1;KEH19224.1;KEH19225.1;AET02629.1;AET02630.1;AET02631.1;AET02632.1;AET02633.1;AET02634.2;AET02635.1;KEH19226.1;AET02636.1;AET02637.2;AET02639.1;AET02640.1;AET02641.1;AET02642.1;AET02643.1;AET02645.1;AET02646.1;KEH19227.1;KEH19228.1;KEH19229.1;KEH19230.1;KEH19231.1;KEH19232.1;KEH19233.1;KEH19234.1;KEH19235.1;KEH19236.1;KEH19237.1;KEH19238.1;KEH19239.1			KEH19223;KEH19225;KEH19228;KEH19231	-		N/A
CM001224_c67	cyclopeptide	"plants/cyclopeptide: (BURP);"	17710864;18235424	AET02666.2;AET02668.1;AET02669.2;AET02670.1;KEH19267.1;AET02671.1;AET02673.1;KEH19268.1;KEH19269.1;AET02674.2;AET02675.2;AET02676.1;AET02678.1;KEH19270.1;AET02682.2;AET02683.1;AET02686.1;KEH19271.1;KEH19272.1;KEH19273.1;KEH19274.1;KEH19275.1;KEH19276.1;KEH19277.1;KEH19278.1;KEH19279.1;AET02690.2;AET02689.2;AET02691.2;KEH19280.1;KEH19281.1;AET02692.1;KEH19282.1;KEH19283.1;AET02698.1;AET02700.1;AET02701.1;KEH19284.1;KEH19285.1;AET02703.1;AET02704.2;AET02705.2;AET02706.1;AET02707.1;AET02710.1;AET02713.1;AET02715.1;AET02716.1;KEH19287.1;KEH19286.1;AET02717.1;AET02719.2;AET02720.2;AET02721.1;AET02722.2;AET02723.2;KEH19288.1;AET02725.2;AET02727.1;AET02728.2;KEH19289.1;AET02729.2;KEH19290.1;AET02730.1;AET02731.1;AET02733.1;KEH19291.1;KEH19292.1;KEH19293.1;KEH19294.1;KEH19295.1;KEH19296.1;KEH19297.1			AET02691;AET02692;AET02700	-		N/A
CM001224_c68	cyclopeptide	"plants/cyclopeptide: (BURP);"	26857447;27276450	KEH19971.1;KEH19972.1;KEH19973.1;KEH19974.1;KEH19975.1;KEH19976.1;KEH19977.1;KEH19978.1;KEH19979.1;KEH19980.1;KEH19981.1;KEH19982.1;KEH19983.1;KEH19984.1;KEH19985.1;KEH19986.1;KEH19987.1;KEH19988.1;KEH19989.1;KEH19990.1;KEH19991.1;KEH19992.1;KEH19993.1;KEH19994.1;KEH19995.1;KEH19996.1;KEH19997.1;KEH19998.1;KEH19999.1;KEH20000.1;KEH20001.1;KEH20003.1;KEH20002.1;KEH20004.1;KEH20005.1;KEH20006.1;KEH20007.1;KEH20008.1;KEH20009.1;KEH20010.1;KEH20011.1;KEH20013.1;KEH20012.1;KEH20014.1;KEH20015.1;KEH20016.1;KEH20017.1;KEH20018.1;KEH20019.1;KEH20020.1;KEH20021.1;KEH20022.1;KEH20023.1;KEH20024.1;KEH20025.1;KEH20026.1;KEH20027.1;KEH20028.1;KEH20029.1;KEH20030.1;KEH20031.1;KEH20032.1;KEH20033.1;KEH20034.1;KEH20035.1;KEH20036.1;KEH20037.1;KEH20038.1;KEH20039.1;KEH20040.1;KEH20041.1;KEH20042.1			KEH20005;KEH20006;KEH20007	-		N/A
CM001224_c69	lignan;terpene	"plants/lignan: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Dirigent]));plants/terpene: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Terpene_synth/Terpene_synth_C/Prenyltrans/SQHop_cyclase_C/SQHop_cyclase_N/PRISE]));"	31144771;31167654	AET03603.1;AET03601.2;AET03602.1;AET03618.1;AET03617.2;AET03616.1			AET03601;AET03602;AET03618	-		N/A
CM001224_c70	alkaloid	"plants/alkaloid: (minimum(3,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], [Bet_v_1/Cu_amine_oxid/Str_synth]));plants/plant: (minimum(4,[cMT,nMT,oMT,adh_short,Chal_sti_synt_C,Chal_sti_synt_N,COesterase,UDPGT,Glyco_transf_28,Glycos_transf_1,Glycos_transf_2,Lycopene_cycl,NAD_binding_1,p450,SQHop_cyclase_C,SQHop_cyclase_N,Prenyltrans,Terpene_synth_C,Terpene_synth,Transferase,Aminotran_1_2,AMP-binding,DIOX_N,Dirigent,Bet_v_1,Cu_amine_oxid,Str_synth,Trp_syntA,His_biosynth,adh_short_C2,Peptidase_S10,Prenyltransf,Epimerase,2OG-FeII_Oxy,Aminotran_3,Methyltransf_2,Methyltransf_3,Methyltransf_7,PRISE,Cellulose_synt,Chalcone,ERG4_ERG24,FA_desaturase,FA_desaturase_2,Methyltransf_11,polyprenyl_synt,SE,SQS_PSY,TPMT,UbiA,Lipoxygenase,Lyase_aromatic,HMGL-like,Chalcone_3,Chalcone_2,Acetyltransf_1,UDPGT_2,GMC_oxred_N,GMC_oxred_C,Amino_oxidase,DAHP_synth_1,DAHP_synth_2], []));"	31258681;31432089	AET03631.1;AET03633.1;AET03634.1;AET03635.1;AET03636.1;AET03638.1;AET03639.1;AET03640.1;AET03641.1;AET03642.2;KEH20360.1;AET03643.1;AET03646.1;AET03645.1;AET03649.1;AET03651.2;AET03652.1;AET03654.1;AET03655.1;AET03657.1;AET03659.2;AET03661.1;AET03662.1;AET03664.1;AET03666.1;AET03667.2			AET03633;AET03634;AET03642;AET03643;AET03646;AET03645;AET03651;AET03655;AET03659;AET03662;AET03666	-		N/A
